sa2_code,sa2_name,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,median_age2015-2016,median_age2016-2017,median_age2017-2018,median_age2018-2019,median_age2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020
Australia ,,13358252,13678024,14069082,14425037,14619595,42,42,42,42,42,827875051087,856159475083,903888674402,951373381486,982965025613,47692,48360,49805,51389,52338,61975,62594,64246,65953,67236
New South Wales,,4191542,4344997,4466941,4569650,4614940,42,42,42,42,42,270324902216,283275046025,300176988652,314465961966,323613045366,48085,48700,50153,51818,52849,64493,65196,67200,68816,70123
101021007,Braidwood,2153,2262,2315,2361,2426,50,50,51,51,50,109961530,115564780,119439615,120763285,149794037,39716,41288,42003,41593,44246,51074,51090,51594,51149,61745
101021008,Karabar,4937,4988,5059,5100,5128,42,42,42,42,42,301618607,311923113,322715297,338308979,345342749,55870,57880,59295,61777,62946,61093,62535,63790,66335,67345
101021009,Queanbeyan,6419,6486,6595,6697,6778,39,39,39,39,39,390044004,395374979,414579067,441160946,455997821,54999,55376,57848,60119,61724,60764,60958,62863,65874,67276
101021010,Queanbeyan - East,3106,3230,3392,3393,3360,40,40,40,40,40,199164715,211520090,232611414,237035656,241148449,55650,57380,60166,63051,64010,64123,65486,68576,69860,71770
101021011,Queanbeyan Region,10381,11532,12213,12821,13502,46,45,45,44,44,790019714,875609556,964410618,1050285692,1151756047,65366,66227,67998,71420,74042,76102,75929,78966,81919,85303
101021012,Queanbeyan West - Jerrabomberra,8039,8272,8509,8476,8381,44,44,44,44,44,639311430,667990366,697740895,725602722,739685931,68719,69787,71350,73851,75987,79526,80753,82000,85607,88257
101031013,Bombala,1301,1365,1382,1369,1404,48,49,49,50,49,69218945,79115739,77833542,71777152,77006296,44115,47525,46094,44428,46495,53204,57960,56319,52430,54848
101031014,Cooma,3680,3800,3792,3777,3776,47,47,46,46,46,187910847,195032875,203325732,206500749,215003102,43586,43326,45230,47029,48615,51063,51324,53620,54673,56939
101031015,Cooma Region,1832,1926,2031,2066,2056,48,48,49,49,50,93931414,105189628,109527983,111397467,112159632,40074,42668,43342,44743,46044,51273,54616,53928,53919,54552
