sa2_maincode_2016,sa2_code_2021,ratio
101021007,101021007,1.0
101021008,101021008,1.0
101021009,101021009,1.0
101021010,101021010,1.0
101021011,101021610,0.0967097
101021011,101021611,0.9032903
101021012,101021012,1.0
101031013,101031013,1.0
101031014,101031014,1.0
101031015,101031015,1.0
101031016,101031016,1.0
101041017,101041017,1.0
101041018,101041018,1.0
101041019,101041019,1.0
101041020,101041020,1.0
101041021,101041021,1.0
101041022,101041022,1.0
101041023,101041023,1.0
101041024,101041024,1.0
101041025,101041025,1.0
101041026,101041026,1.0
101041027,101041027,1.0
101051539,101051539,1.0
101051540,101051540,1.0
101061541,101061541,1.0
101061542,101061542,1.0
101061543,101061543,1.0
101061544,101061544,1.0
102011028,102011028,1.0
102011029,102011029,1.0
102011030,102011030,1.0
102011031,102011031,1.0
102011032,102011032,1.0
102011033,102011033,1.0
102011034,102011034,0.9990335
102011034,102011039,0.0009665
102011035,102011035,1.0
102011036,102011036,1.0
102011037,102011037,1.0
102011038,102011038,1.0
102011039,102011039,1.0
102011040,102011040,1.0
102011041,102011041,1.0
102011042,102011042,1.0
102011043,102011043,1.0
102021044,102021044,1.0
102021045,102021045,1.0
102021046,102021046,1.0
102021047,102021047,1.0
102021048,102021048,1.0
102021049,102021049,1.0
102021050,102021050,1.0
102021051,102021051,1.0
102021052,102021052,1.0
102021053,102021053,1.0
102021054,102021054,1.0
102021055,102021055,1.0
102021056,102021056,1.0
102021057,102021057,1.0
103011058,103011612,0.4526202
103011058,103011613,0.5473798
103011059,103011059,1.0
103011060,103011060,1.0
103011061,103011061,1.0
103021062,103021062,1.0
103021063,103021063,1.0
103021064,103021064,1.0
103021065,103021065,1.0
103021066,103021066,1.0
103021067,103021067,1.0
103021068,103021068,1.0
103021069,103021069,1.0
103031070,103031070,1.0
103031071,103031071,1.0
103031072,103031072,1.0
103031073,103031073,1.0
103031074,103031074,1.0
103031075,103031075,1.0
103041076,103041076,1.0
103041077,103041077,1.0
103041078,103041078,1.0
103041079,103041079,1.0
104011080,104011080,1.0
104011081,104011081,1.0
104011082,104011082,1.0
104021083,104021083,1.0
104021084,104021084,1.0
104021085,104021085,1.0
104021086,104021086,1.0
104021087,104021087,1.0
104021088,104021088,1.0
104021089,104021089,1.0
104021090,104021090,1.0
104021091,104021091,1.0
105011092,105011092,1.0
105011093,105011093,1.0
105011094,105011094,1.0
105011095,105011095,1.0
105011096,105011096,1.0
105021097,105021097,1.0
105021098,105021098,1.0
105031099,105031099,1.0
105031100,105031100,1.0
105031101,105031101,1.0
105031102,105031102,1.0
105031103,105031103,1.0
105031104,105031104,1.0
105031105,105031105,1.0
105031106,105031106,1.0
106011107,106011107,1.0
106011108,106011108,1.0
106011109,106011109,1.0
106011110,106011110,1.0
106011111,106011111,1.0
106011112,106011112,1.0
106011113,106011113,1.0
106021114,106021114,1.0
106021115,106021614,0.6570794
106021115,106021617,0.3394406
106021115,106021618,0.00348
106021116,106021116,1.0
106021117,106021615,0.6980665
106021117,106021616,0.3019335
106021118,106021618,1.0
106031119,106031119,1.0
106031120,106031120,1.0
106031121,106031121,1.0
106031122,106031122,1.0
106031123,106031123,1.0
106031124,106031124,1.0
106031125,106031125,1.0
106041126,106041126,1.0
106041127,106041127,1.0
106041128,106041128,1.0
106041129,106041129,1.0
107011131,107011131,1.0
107011132,107011132,1.0
107011133,107011133,1.0
107011134,107011134,1.0
107011545,107011545,1.0
107011546,107011546,1.0
107011547,107011547,1.0
107021135,107021135,1.0
107031136,107031136,1.0
107031137,107031137,1.0
107031138,107031138,1.0
107031139,107031139,1.0
107031140,107031140,1.0
107031141,107031141,1.0
107031142,107031142,1.0
107031143,107031143,1.0
107041144,107041144,1.0
107041145,107041145,1.0
107041146,107041146,1.0
107041147,107041147,1.0
107041148,107041148,1.0
107041150,107041150,1.0
107041548,107041548,1.0
107041549,107041549,1.0
108011151,108011151,1.0
108011152,108011152,1.0
108011153,108011153,1.0
108011154,108011154,1.0
108021155,108021155,1.0
108021156,108021156,1.0
108021157,108021157,1.0
108021158,108021158,1.0
108021159,108021159,1.0
108021160,108021160,1.0
108031161,108031161,1.0
