name,merchant_abn,revenue_level,take_rate,industry_tags,MappedIndustry
Felis Limited,10023283211,e,0.18,furniture home furnishings equipment manufacturers except appliances,T
Arcu Ac Orci Corporation,10142254217,b,4.22,cable satellite pay television radio,K
Nunc Sed Company,10165489824,b,4.4,jewelry watch clock silverware,A
Ultricies Dignissim Lacus Foundation,10187291046,b,3.29,watch clock jewelry repair,V
Enim Condimentum PC,10192359162,a,6.33,music musical instruments pianos sheet music,M
Fusce Company,10206519221,a,6.34,gift card novelty souvenir,P
Aliquam Enim Incorporated,10255988167,b,4.32,computers computer peripheral equipment software,J
Ipsum Primis Ltd,10264435225,c,2.39,watch clock jewelry repair,V
Pede Ultrices Industries,10279061213,a,5.71,computer programming data processing integrated systems design,C
Nunc Inc.,10323485998,a,6.61,furniture home furnishings equipment manufacturers except appliances,T
Facilisis Facilisis Corp.,10342410215,a,6.34,computers computer peripheral equipment software,J
Odio Institute,10346855916,b,3.57,equipment tool furniture appliance rent al leasing,S
Rutrum Justo Ltd,10364012396,b,3.63,music musical instruments pianos sheet music,M
Tellus Foundation,10385011947,b,3.17,artist supply craft,E
Sed Et Company,10385163239,a,6.61,florists nursery stock flowers,U
Id Ltd,10385250025,a,5.54,computers computer peripheral equipment software,J
Consequat Foundation,10404542215,a,6.93,antique repairs restoration,R
Sit Amet Nulla Corp.,10430380319,b,4.97,motor vehicle new parts,H
Massa Vestibulum Foundation,10441711491,a,5.77,motor vehicle new parts,H
Ut Consulting,10462560289,c,2.95,gift card novelty souvenir,P
Id Mollis Corporation,10463252268,a,6.61,artist supply craft,E
Laoreet Lectus Associates,10487253336,b,3.92,artist supply craft,E
Ut Semper Industries,10530696903,a,6.46,books periodicals newspapers,G
Lacus Vestibulum Inc.,10545955006,a,6.16,florists nursery stock flowers,U
Commodo Hendrerit Donec Corporation,10553813474,b,4.31,artist supply craft,E
Egestas A Associates,10596295795,a,6.84,jewelry watch clock silverware,A
Enim Consequat Institute,10618089367,b,4.01,stationery office printing writing paper,D
Proin Nisl Institute,10648956813,a,6.66,computers computer peripheral equipment software,J
Sed Et Libero PC,10651113986,b,3.25,tent awning,X
Fermentum Risus Foundation,10702078694,a,5.95,gift card novelty souvenir,P
Sollicitudin Commodo Ipsum Industries,10714068705,c,2.51,furniture home furnishings equipment manufacturers except appliances,T
Libero Proin Mi Incorporated,10739268011,a,6.25,art dealers galleries,L
Risus Associates,10746056613,a,6.76,music musical instruments pianos sheet music,M
Ut Dolor Dapibus LLP,10848766800,c,2.08,bicycle,Y
Dui Cras Pellentesque Limited,10854978569,b,4.23,computers computer peripheral equipment software,J
Vitae Aliquet Nec Associates,10860706939,c,2.99,furniture home furnishings equipment manufacturers except appliances,T
Sed Facilisis Vitae Incorporated,10881038707,a,6.24,jewelry watch clock silverware,A
Per Inceptos Company,10901349044,a,5.96,gift card novelty souvenir,P
Justo Associates,10922217544,c,1.68,watch clock jewelry repair,V
Metus Vitae Velit LLP,10930486968,a,5.73,gift card novelty souvenir,P
Nam Associates,10945019164,a,5.99,digital goods books movies music,F
Arcu Iaculis Corporation,10955677986,a,5.64,shoe,B
Ante Maecenas Ltd,10959028715,b,4.28,furniture home furnishings equipment manufacturers except appliances,T
Non Feugiat Incorporated,10995883576,a,6.22,gift card novelty souvenir,P
Sodales Mauris Consulting,11017796471,b,4.0,opticians optical goods eyeglasses,I
Aliquet Metus Urna LLP,11024352823,c,2.62,antique repairs restoration,R
Amet Diam Industries,11076688542,c,2.52,stationery office printing writing paper,D
Rutrum Corp.,11089768124,c,2.78,computer programming data processing integrated systems design,C
Ac Mi Corp.,11093673306,a,6.74,watch clock jewelry repair,V
Egestas Nunc Associates,11121775571,a,6.58,digital goods books movies music,F
Quis Massa Mauris Ltd,11134994590,c,2.41,jewelry watch clock silverware,A
Et Arcu Limited,11149063370,b,4.84,art dealers galleries,L
Feugiat Tellus LLP,11173270682,d,1.26,computer programming data processing integrated systems design,C
Orci Luctus PC,11199348915,b,4.1,health beauty spas,N
Cursus Et Eros LLP,11208869091,a,6.48,hobby toy game,O
Scelerisque Scelerisque Ltd,11215815177,b,4.77,tent awning,X
Magna Institute,11237511112,c,2.11,opticians optical goods eyeglasses,I
Ornare Placerat Foundation,11243046390,c,1.94,books periodicals newspapers,G
Tincidunt Pede Company,11285988014,a,6.3,digital goods books movies music,F
Nostra Per Inceptos Ltd,11304124014,a,5.54,shoe,B
Interdum Inc.,11355018654,a,6.24,shoe,B
Ipsum Sodales Industries,11411018019,c,2.17,hobby toy game,O
Aptent Taciti Consulting,11422053652,b,4.74,shoe,B
Praesent Luctus Inc.,11422618712,c,1.45,computers computer peripheral equipment software,J
Nam Foundation,11437621158,b,4.53,motor vehicle new parts,H
Blandit At LLC,11439466003,a,5.71,shoe,B
Sed Neque Sed Inc.,11452293720,a,5.78,cable satellite pay television radio,K
Sed Associates,11470993597,d,1.35,watch clock jewelry repair,V
Proin Vel Incorporated,11563852275,c,2.99,florists nursery stock flowers,U
Euismod Et Institute,11566786699,c,2.62,opticians optical goods eyeglasses,I
Dolor Industries,11588046517,b,3.94,health beauty spas,N
Arcu Sed PC,11590404675,b,4.19,antique repairs restoration,R
Cum Sociis Incorporated,11633090957,b,4.0,lawn garden supply outlets including nurseries,W
Vitae Aliquam Incorporated,11700214701,a,6.2,tent awning,X
Ante Maecenas Mi Incorporated,11766327188,c,2.57,gift card novelty souvenir,P
Id Magna LLP,11788487195,b,3.51,music musical instruments pianos sheet music,M
Nulla Magna Incorporated,11791943985,b,5.01,watch clock jewelry repair,V
Morbi Vehicula Inc.,11800043583,c,2.89,jewelry watch clock silverware,A
At Egestas A Corp.,11802512399,a,5.82,bicycle,Y
Eu Tellus Industries,11841065357,b,4.42,motor vehicle new parts,H
Aenean Eget Corporation,11848576000,c,1.57,hobby toy game,O
Gravida Inc.,11895748930,b,3.27,lawn garden supply outlets including nurseries,W
Tincidunt Dui Corp.,11944993446,a,6.6,gift card novelty souvenir,P
Dui Cras Pellentesque Company,11961681734,a,6.46,health beauty spas,N
Dui Fusce Corp.,11974270529,b,3.9,furniture home furnishings equipment manufacturers except appliances,T
Tortor Corp.,11975295389,c,2.79,art dealers galleries,L
Sed Molestie Sed Institute,11981237946,a,6.43,digital goods books movies music,F
In Lobortis Company,12014115545,a,6.35,gift card novelty souvenir,P
Tincidunt Aliquam Arcu Corp.,12031655138,a,6.96,gift card novelty souvenir,P
Pede Suspendisse Corp.,12034469787,a,5.83,shoe,B
Consequat LLP,12037481016,a,5.99,opticians optical goods eyeglasses,I
Donec Nibh LLP,12042198256,a,6.45,computer programming data processing integrated systems design,C
Tincidunt Tempus Incorporated,12103450178,b,3.17,equipment tool furniture appliance rent al leasing,S
Et Eros Limited,12133839110,a,6.69,tent awning,X
Eu Ultrices Ltd,12161076724,b,4.7,telecom,Q
Interdum Sed Foundation,12171241826,b,4.13,computers computer peripheral equipment software,J
Quam Quis Diam Foundation,12173100693,a,5.65,gift card novelty souvenir,P
Integer In Ltd,12182018430,b,3.27,telecom,Q
Risus Consulting,12183270048,c,2.46,cable satellite pay television radio,K
Aliquam Ornare Libero LLP,12185659961,b,4.55,music musical instruments pianos sheet music,M
Nullam Ut Industries,12208064492,a,6.95,hobby toy game,O
Velit Corp.,12219088747,b,3.22,gift card novelty souvenir,P
Ut Ipsum Corp.,12240378188,b,4.35,jewelry watch clock silverware,A
Montes Nascetur Ridiculus Industries,12296390138,c,2.72,florists nursery stock flowers,U
Quam Curabitur Company,12353567572,c,2.35,cable satellite pay television radio,K
Posuere Enim Incorporated,12374632228,c,2.88,hobby toy game,O
Neque Morbi Foundation,12380299397,b,3.22,artist supply craft,E
Luctus Sit Corporation,12395011633,a,6.01,gift card novelty souvenir,P
Porttitor Scelerisque Neque Limited,12404803031,b,3.5,hobby toy game,O
Diam Proin Industries,12426913844,b,4.0,hobby toy game,O
Feugiat Non Associates,12434006854,a,5.66,stationery office printing writing paper,D
At Arcu Industries,12438697459,b,4.48,watch clock jewelry repair,V
Egestas A Scelerisque Limited,12476477880,b,3.73,books periodicals newspapers,G
Sed PC,12483082042,b,5.0,opticians optical goods eyeglasses,I
Velit Quisque LLP,12497320096,a,6.3,watch clock jewelry repair,V
Et Lacinia Industries,12513701055,a,6.01,books periodicals newspapers,G
Mollis Corp.,12516851436,a,6.71,watch clock jewelry repair,V
