name,merchant_abn,eariningmean2015-2016,eariningmean2016-2017,eariningmean2017-2018,eariningmean2018-2019,eariningmean2019-2020,earners2015-2016,earners2016-2017,earners2017-2018,earners2018-2019,earners2019-2020,earningmedian2015-2016,earningmedian2016-2017,earningmedian2017-2018,earningmedian2018-2019,earningmedian2019-2020,earningsum2015-2016,earningsum2016-2017,earningsum2017-2018,earningsum2018-2019,earningsum2019-2020
A Aliquet Ltd,22578135006,34552.165,35658.872,36148.997,37342.038,36844.096,3003.145,3120.372,3194.806,3253.337,3289.087,27776.131,28477.336,29327.641,30359.37,30335.282,171956422.578,182563392.548,190483909.326,199930644.621,203039827.333
A Arcu Industries,77090965820,34943.526,36047.883,36455.635,37655.976,37447.624,3128.037,3238.875,3314.207,3372.915,3411.584,27761.623,28454.248,29157.218,30251.888,30347.392,187597331.355,198138692.663,206999243.915,216763405.238,220818903.77
A Arcu Sed Company,48298955262,34805.248,35846.324,36319.688,37533.035,37289.716,3134.578,3244.747,3321.291,3377.037,3410.084,27602.712,28296.855,29046.525,30088.651,30199.11,189708517.106,200167969.903,209178547.38,219240417.032,222814901.114
A Arcu Sed Corporation,90909339288,35472.674,36410.757,36408.189,37851.891,38780.51,2883.372,3008.612,3104.68,3167.527,3227.043,28805.58,29120.98,30071.506,31372.826,32033.949,168706698.235,179369691.205,187329060.282,198969331.995,205659102.481
A Associates,14955471775,35060.99,35928.109,36408.469,37515.03,37103.51,3183.549,3282.904,3353.763,3411.665,3449.203,27783.446,28616.104,29369.467,30242.611,30429.808,177680805.151,186082817.178,194059377.204,203386061.738,206419243.372
A Auctor Non Corporation,45559085309,34696.933,35683.764,36173.431,37206.787,36898.672,3075.844,3181.142,3251.839,3306.02,3341.047,27524.526,28187.276,28986.897,29992.398,30047.075,182615995.154,192538654.936,200981712.982,210006363.84,213555038.296
A Auctor Non Institute,35071907475,35792.578,36865.924,37260.539,38302.31,38193.784,3188.733,3293.252,3356.737,3406.785,3439.634,28243.661,28913.051,29727.341,30695.643,30874.094,195403655.2,205633184.138,213325573.442,222478758.197,226167377.631
A Company,45426079849,37647.773,39097.092,40428.764,42073.524,41148.682,3679.015,3853.928,3845.581,3909.275,3965.529,31885.272,32392.465,34046.71,35646.2,35409.69,195081833.81,209952946.682,216517835.278,228206270.267,230885167.931
A Consulting,34591758600,34301.385,35246.127,35350.209,36984.799,36480.685,3442.44,3542.097,3622.807,3690.091,3728.191,26932.135,27628.729,28279.9,29582.561,29603.888,207388500.015,217201734.958,225785974.455,237379149.446,241016704.793
A Corp.,87998844202,34817.476,35796.433,36281.707,37249.118,37105.275,3155.245,3262.688,3334.497,3390.0,3425.365,27556.677,28215.864,28997.294,30003.067,30142.145,189638388.798,199746398.042,208635630.78,217791971.457,221952444.357
A Corporation,41991231044,37516.411,38050.446,39336.871,40733.989,39191.146,3437.549,3533.273,3615.977,3682.011,3722.615,29597.266,30104.771,31439.853,32363.128,31919.847,208662970.884,217774077.462,229668770.547,240690600.214,242120016.804
A Dui Institute,17950989709,34644.089,35657.044,36082.293,37028.969,36857.708,3037.092,3139.735,3206.247,3256.656,3291.621,27459.392,28112.337,28863.184,29834.88,29963.845,180752552.156,190500704.388,198774794.298,207185476.085,210911698.629
A Enim Institute,97434297484,33511.34,34609.442,35165.625,36173.532,36194.851,3049.032,3163.084,3232.422,3286.264,3319.773,26798.432,27526.661,28358.191,29301.532,29512.058,174630618.426,185183273.908,193438218.558,202467419.325,206418203.324
A Facilisis Limited,96323146873,34634.478,35668.707,36100.713,37140.912,37024.593,3147.733,3260.011,3336.158,3390.978,3428.961,27489.502,28173.535,28907.18,29969.972,30120.64,185419109.711,195420802.75,204010655.919,213240713.406,217510962.322
A Facilisis Non Inc.,49784932478,35958.821,37877.54,38594.146,39366.168,41129.04,3699.152,3831.321,3888.857,3916.395,3963.966,28690.692,29995.147,30941.882,31806.837,33067.504,229430622.087,246060937.987,254855360.45,264448203.647,276804547.376
A Facilisis PC,43061683632,34594.284,35648.686,36067.708,37112.533,36912.55,3096.816,3204.171,3277.685,3333.575,3369.842,27520.788,28212.098,28952.403,29979.0,30070.709,182966557.614,192895250.527,201369158.991,210495959.688,214382657.136
A Felis Company,83878211395,32664.05,33579.009,33628.025,33906.402,34079.118,2872.045,3014.074,3108.424,3187.816,3233.573,26013.714,26662.225,27260.999,27896.624,28282.058,164357623.956,175192845.394,184526130.683,192253286.491,197958466.353
A Felis Ullamcorper Corporation,36800720158,34669.078,35670.064,36185.849,37160.271,36993.866,2982.668,3082.965,3152.028,3201.503,3233.359,27437.119,28099.381,28896.089,29794.013,29996.75,179200102.913,188726886.88,197015559.032,205787313.713,209062750.842
A Felis Ullamcorper Industries,63817709749,34335.941,35337.657,35790.794,36853.459,36475.304,3053.418,3157.433,3228.983,3284.489,3321.029,27202.166,27829.131,28581.658,29582.909,29594.568,182115858.052,191890852.282,200354957.448,209624365.404,213039568.648
A Felis Ullamcorper LLP,67610254313,34286.964,35423.905,36171.187,37103.782,36774.203,2904.863,3009.583,3084.588,3146.951,3185.892,27623.753,28223.23,29073.497,30084.923,30123.816,168920303.625,179432425.664,188593896.789,197642990.664,201291637.147
A Feugiat Inc.,20352820919,33184.687,34213.58,34663.479,34828.015,35612.399,3708.712,3823.937,3903.706,3956.295,3971.305,27542.715,28217.584,29091.666,29611.874,30131.008,192789137.042,203806982.741,211586628.898,219593115.025,226442239.557
A Inc.,64145901913,35221.893,36257.376,37149.289,37882.58,38014.762,3383.544,3500.527,3575.491,3634.087,3667.55,27772.301,28426.659,29232.634,30133.251,30297.421,205598106.327,216604096.577,227536883.385,236388183.036,241613585.219
A LLC,64423487782,33778.434,34836.278,35248.034,36309.806,35835.741,3048.634,3148.139,3214.332,3266.627,3299.542,26778.843,27451.57,28187.008,29195.742,29194.396,181228703.079,191083900.256,198846279.834,207716741.642,210650224.674
A Ltd,61991570212,34495.975,35483.24,35933.771,36956.735,36675.62,3074.775,3181.006,3251.089,3305.469,3340.349,27376.493,28029.216,28806.014,29802.405,29893.21,182429690.516,192339833.307,200604647.755,209756888.341,213180962.07
A Magna Associates,34205660775,50949.0,52021.0,51761.5,54260.0,53945.5,6066.5,6252.0,6470.0,6403.5,6412.0,41919.0,43237.0,44307.5,47210.0,46509.5,310828188.5,326277351.0,336319342.5,348817136.0,345907106.5
A Magna Inc.,93942213428,43450.789,43663.907,44538.925,45794.818,46629.031,4908.724,5040.761,5187.726,5268.369,5349.716,36232.469,36537.702,37875.149,39007.844,39532.613,281576378.299,288749114.701,302540530.295,317983653.257,327541326.176
A Magna Lorem Ltd,92836597532,34384.121,35283.788,35745.303,36847.365,36532.204,3020.949,3126.106,3191.869,3243.027,3275.292,27324.961,27915.924,28627.163,29647.465,29731.194,183817058.463,193531424.568,202262235.583,211161185.644,214377705.778
A Malesuada Associates,57253456204,34122.997,35136.917,35609.954,36383.215,36363.197,3201.37,3308.675,3390.432,3454.691,3498.301,27235.947,27939.023,28654.704,29570.308,29739.475,187683785.181,197411536.299,206652020.212,215710224.75,220757611.53
A Malesuada Corporation,51043338345,34870.391,35990.695,36315.169,37632.297,36863.057,2987.093,3092.944,3155.928,3208.471,3243.412,27776.487,28521.326,29275.148,30447.54,30227.124,176581483.803,186864898.412,194618883.058,203925569.28,206378625.405
A Malesuada Id Institute,22997201471,34318.678,35268.293,35822.287,36863.408,36583.978,3113.905,3218.506,3286.585,3342.256,3376.427,27125.476,27788.089,28580.696,29544.009,29615.997,187261995.141,197014777.79,206194304.377,215507863.957,219263932.82
A Malesuada Id Ltd,49867386620,30356.34,30211.297,30301.276,31032.17,30822.888,2609.121,2684.504,2744.274,2803.4,2834.509,24207.444,24625.387,25449.846,26169.012,26435.674,150288020.882,154544343.766,159918283.023,167691632.118,171186087.776
A Mi Fringilla PC,65401793264,30894.449,31918.849,31982.516,33057.599,32063.406,2498.341,2597.633,2633.811,2677.288,2723.458,24569.584,25162.623,25731.203,26792.071,26519.326,141015369.311,150054319.479,154098411.404,160346470.984,161978947.086
A Neque Incorporated,23765687737,33327.97,34350.645,34687.401,35700.528,35419.774,2902.917,3002.511,3068.068,3116.937,3150.094,26543.26,27215.104,27886.932,28849.72,28920.419,169382275.747,178782295.828,186476788.035,194440119.961,197778891.151
A Neque LLC,16288327194,33528.831,34545.388,34926.929,36059.702,35695.787,2989.185,3091.214,3161.225,3215.33,3250.115,26668.89,27338.426,28055.185,29063.298,29112.729,175973967.227,185626534.058,193663653.173,202917664.68,206330664.518
A Neque LLP,79081516258,78136.5,79302.5,81766.0,85285.5,87636.0,8730.0,8915.5,9155.0,9392.5,9522.0,57263.0,58969.5,60026.5,62309.5,64385.5,725043824.5,749814570.5,795504271.5,844842736.5,877231444.5
A Neque Nullam Corp.,92382466112,34408.908,35385.414,35945.769,37052.222,36611.311,3083.322,3192.75,3262.211,3320.425,3357.185,27373.351,27987.41,28816.102,29799.882,29847.072,183271888.095,193117514.413,202027636.947,211276949.37,214277211.388
A Neque Nullam PC,99378147610,36478.46,37943.78,38327.452,39367.91,39298.074,3069.904,3177.022,3240.898,3300.627,3342.834,28892.828,29981.665,30660.452,31856.724,32036.531,175697102.192,184518842.727,191556021.369,200521786.903,204814005.882
A Neque PC,68535898735,35637.211,36739.716,38006.934,39360.529,37761.469,3476.771,3608.681,3700.427,3786.265,3850.698,28691.978,29513.555,30530.874,31428.463,30993.507,201978362.529,213942848.776,225776050.241,239636327.932,241933388.532
A Nunc Corp.,55069630872,34207.027,35237.667,35703.975,36886.1,36540.109,3090.805,3199.888,3273.183,3329.844,3365.933,27160.67,27844.531,28601.915,29655.06,29709.486,184191056.903,194388934.557,203065158.48,212698997.406,216305501.266
A Nunc In LLP,52069051820,33501.84,34567.536,35049.951,36181.189,35936.229,3012.162,3115.531,3182.896,3236.132,3266.179,26759.469,27455.961,28179.938,29268.807,29334.62,177420664.823,187395858.129,195694402.877,204548294.009,208101764.887
A Odio Semper Incorporated,73227776133,33308.99,34560.328,34915.384,35977.304,35894.04,2889.907,2994.624,3056.759,3107.327,3136.398,26497.436,27286.699,28026.233,29096.915,29277.972,172308020.617,182652704.386,190483199.022,199010213.248,203141866.809
A Purus Consulting,52375327397,38740.177,39515.55,40168.516,41035.904,40581.391,3134.11,3242.772,3304.235,3348.818,3377.988,29613.159,30100.195,31122.347,32179.616,32208.977,205892587.249,216951701.761,224995064.648,234087136.367,234782304.293
A Purus Duis Consulting,26482181417,33470.157,34149.756,34855.263,35799.205,36139.328,3199.391,3320.706,3385.439,3448.221,3475.539,27176.271,27866.249,28709.712,29604.653,30083.299,183475465.268,192839256.777,200671548.357,210574622.715,214811594.667
A Purus LLC,69233153226,34503.186,35750.77,36370.15,37690.826,37900.266,3228.211,3332.08,3407.392,3463.678,3495.373,27338.16,28200.848,29016.684,30143.733,30398.935,193243224.326,203962991.828,212860115.854,222978318.519,227788787.425
A Scelerisque Associates,19237425345,34396.332,35390.073,35864.255,36913.017,36669.481,3112.093,3218.794,3291.07,3345.7,3378.583,27187.539,27863.941,28633.108,29641.635,29733.713,186011477.977,196126726.164,204661932.206,213920308.545,217509088.426
A Scelerisque Foundation,90578415511,34616.932,35607.365,36108.406,37172.651,36915.153,3060.746,3166.568,3237.878,3292.921,3329.513,27455.691,28110.613,28896.687,29918.915,29983.563,181982053.555,191836201.181,200365771.513,209493957.778,213193902.46
A Sollicitudin Orci Foundation,78864123417,34743.297,35870.121,35997.181,36871.727,36554.86,3006.318,3104.721,3176.8,3229.946,3261.924,27762.901,28522.239,29236.244,30155.696,30165.18,172830976.815,182839793.461,189646705.638,197803324.616,201070699.313
A Tortor LLP,25117003509,32308.842,31833.872,32276.002,33330.516,34049.16,3751.049,3879.672,4001.297,4094.58,4171.847,25155.216,25014.46,25798.786,26337.831,26906.764,219802876.402,227610791.914,238470304.592,251231071.241,259615436.348
A Ultricies Adipiscing LLC,55842128301,33489.364,34464.497,34911.495,35862.849,35539.077,2955.722,3055.217,3122.532,3176.595,3212.949,26722.491,27347.996,28108.792,29063.061,29102.666,173361851.541,182631477.875,190465500.601,199116426.445,202447781.494
A Ultricies Foundation,34984654037,34438.779,35435.675,35911.868,37324.586,37059.987,3142.271,3250.652,3327.057,3384.606,3421.765,27346.026,28024.687,28814.807,29941.647,30052.613,187370356.57,197790193.625,206556151.592,217235064.516,221235721.253
A Ultricies Inc.,46012371285,34883.832,35967.504,36416.632,37480.707,37309.995,3113.495,3222.11,3294.363,3350.84,3387.948,27737.733,28450.224,29226.034,30272.516,30399.992,184487449.349,194696063.907,203152819.163,212409543.764,216381675.775
