postcode,sa2_code,sa2_name,ratio
,,,
0800,701011002.0,Darwin City,1.0
0810,701021010.0,Alawa,0.0719971
0810,701021013.0,Brinkin - Nakara,0.0963918
0810,701021016.0,Coconut Grove,0.0964936
0810,701021018.0,Jingili,0.061562
0810,701021021.0,Lyons (NT),0.0702012
0810,701021023.0,Millner,0.0834829
0810,701021024.0,Moil,0.0685753
0810,701021025.0,Nightcliff,0.1239038
0810,701021026.0,Rapid Creek,0.1107234
0810,701021027.0,Tiwi,0.0850414
0810,701021028.0,Wagaman,0.0714211
0810,701021029.0,Wanguri,0.0602065
0812,701021011.0,Anula,0.1244602
0812,701021014.0,Buffalo Creek,0.0001624
0812,701021019.0,Karama,0.2508873
0812,701021020.0,Leanyer,0.2428109
0812,701021022.0,Malak - Marrara,0.2460735
0812,701021030.0,Wulagi,0.1355918
0820,701011001.0,Darwin Airport,0.0239918
0820,701011003.0,East Point,0.0022825
0820,701011004.0,Fannie Bay - The Gardens,0.1723339
0820,701011005.0,Larrakeyah,0.1720324
0820,701011006.0,Ludmilla - The Narrows,0.1519145
0820,701011007.0,Parap,0.1048335
0820,701011008.0,Stuart Park,0.188051
0820,701011009.0,Woolner - Bayview - Winnellie,0.1406105
0820,701021012.0,Berrimah,0.0437904
0820,701021015.0,Charles Darwin,0.0001595
0822,701021015.0,Charles Darwin,0.000245
0822,701021017.0,East Arm,0.00024
0822,701031032.0,Humpty Doo,0.0366849
0822,701031033.0,Koolpinyah,0.0005256
0822,701031034.0,Virginia,0.0350149
0822,701031035.0,Weddell,0.071293
0822,702031057.0,Alligator,0.0876488
0822,702031058.0,Daly,0.0629024
0822,702031059.0,Thamarrurr,0.0939435
0822,702031060.0,Tiwi Islands,0.104904
0822,702031061.0,West Arnhem,0.1912706
0822,702041062.0,Anindilyakwa,0.0647919
0822,702041063.0,East Arnhem,0.2220909
0822,702051066.0,Gulf,0.0279954
0822,702051067.0,Katherine,0.0004489
0828,701021012.0,Berrimah,1.0
0829,701031031.0,Howard Springs,0.9346851
0829,701041038.0,Durack - Marlow Lagoon,0.0653149
0830,701031033.0,Koolpinyah,0.0002039
0830,701041037.0,Driver,0.1646299
0830,701041038.0,Durack - Marlow Lagoon,0.1999719
0830,701041039.0,Gray,0.1842764
0830,701041040.0,Moulden,0.1775423
0830,701041041.0,Palmerston - North,0.0829278
0830,701041044.0,Woodroffe,0.1903993
0832,701031031.0,Howard Springs,0.0086835
0832,701031034.0,Virginia,0.00078
0832,701041036.0,Bakewell,0.3297649
0832,701041041.0,Palmerston - North,0.2729104
0832,701041042.0,Palmerston - South,0.0006205
0832,701041043.0,Rosebery - Bellamack,0.3872407
0835,701031031.0,Howard Springs,0.6132526
0835,701031034.0,Virginia,0.3866807
0836,701031032.0,Humpty Doo,1.0
0837,701031035.0,Weddell,1.0
0838,701031035.0,Weddell,1.0
0840,702031057.0,Alligator,0.9990751
0841,701031035.0,Weddell,1.0
0845,702031057.0,Alligator,1.0
0846,702031057.0,Alligator,1.0
0847,702031058.0,Daly,1.0
