postcode,sa2_maincode_2016
200,801051049
800,701011002
801,701011002
804,701011007
810,701021010
810,701021013
810,701021016
810,701021018
810,701021021
810,701021023
810,701021024
810,701021025
810,701021026
810,701021027
810,701021028
810,701021029
811,701021013
812,701021011
812,701021014
812,701021019
812,701021020
812,701021022
812,701021030
813,702021055
814,701021025
815,701021013
820,701011006
820,701011009
820,701021015
820,701021012
820,701011005
820,701011002
820,701011001
820,701021022
820,701011003
820,701011004
820,701011007
820,701011008
821,701011009
822,701031035
822,702041062
822,315011396
822,702031060
822,701031034
822,702031057
822,702031058
822,701021015
822,702031061
822,701011002
822,701021017
822,702041063
822,701031033
822,701031032
822,702051066
822,702031059
822,701011009
828,701021012
829,701041038
830,701041042
830,701041037
830,701041038
830,701041041
830,701041039
830,701041040
830,701031033
830,701041044
831,701041041
832,701041036
832,701041043
832,701041041
832,701031031
832,701041042
834,701031034
835,701031034
835,701031031
836,701031032
837,701031035
838,701031035
839,701031034
840,702031057
841,701031035
845,702031057
846,702031057
847,702031058
850,702051067
851,702051067
852,702051065
852,702051068
852,702051067
852,702021055
852,702051066
853,702051067
854,702051066
860,702021056
861,702021055
861,702021056
862,702021055
862,702051066
862,702021056
870,702011045
870,702011048
870,702011049
870,702011046
870,702011047
870,702011051
871,702011045
872,702011052
872,702021055
872,702011045
872,406021138
872,702011050
872,702011053
872,702011054
872,406021141
872,510021267
872,511031283
873,702011052
873,702011051
874,702011048
874,702011049
874,702011046
875,702011047
875,702011048
880,702041063
880,702041064
881,702041064
885,702041062
886,702031057
906,701011009
907,701011009
909,701021013
1001,117031337
1002,117031337
1003,117031337
1004,117031337
1005,117031337
1006,117031337
1007,117031337
1008,117031337
1009,117031337
1010,117031337
1020,117031337
1021,117031337
1022,117031337
1023,117031337
1025,117031337
1026,117031337
1027,117031337
1028,117031337
1029,117031337
1030,117031337
1031,117031337
1032,117031337
1033,117031337
1034,117031337
1035,117031337
1036,117031337
1037,117031337
1038,117031337
1039,117031337
1040,117031337
1041,117031337
1042,117031337
1043,117031337
1044,117031337
1045,117031337
1046,117031337
1100,117031337
1101,117031337
1105,117031337
1106,117031337
1107,117031337
1108,117031337
1109,117031337
1110,117031337
1112,117031337
1113,117031337
1114,117031337
1115,117031337
1116,117031337
1117,117031337
1118,117031337
1119,117031337
1120,117031337
1121,117031337
1122,117031337
1123,117031337
1124,117031337
1125,117031337
1126,117031337
1127,117031337
1128,117031337
1129,117031337
1130,117031337
1131,117031337
1132,117031337
1133,117031337
1134,117031337
1135,117031337
1136,117031337
1137,117031337
